"","a12-17","18-24","25-44","45-64","65p","18-99","a12-17m","18-24m","25-44m","45-64m","65pm","18-99m","a12-17f","18-24f","25-44f","45-64f","65pf","18-99f"
"FL",0,0.157993039544262,0.248238550926506,0.226248407742413,0.0989176338089279,0.193030948393287,0,0.192903477208963,0.281048631700276,0.236785680800181,0.106638042094646,0.214585088048989,0,0.119698930895984,0.215823211618117,0.21646314316397,0.0924595530534249,0.172845467356406
"GA",0,0.18328289237224,0.263085763450047,0.246174477596152,0.119360123548483,0.220696546733377,0,0.242078544358256,0.296206935853592,0.271104906735371,0.116762946035763,0.252480560152453,0,0.120678070921685,0.230432216717679,0.222887375036071,0.121344219216549,0.191133878553132
"HI",0,0.190596839133487,0.250620382882678,0.157857120315783,0.072580197967232,0.175318211301718,0,0.214344152931546,0.311663352703402,0.176724084612244,0.092104891785595,0.213496852673571,0,0.162757681003322,0.182967054884021,0.139453782692212,0.0565968956052841,0.136906500257476
"ID",0,0.159688435792382,0.22449675711275,0.19554349577513,0.0884551700630882,0.177697190353824,0,0.165816361786391,0.255187380168862,0.207463074431988,0.0819882235909711,0.192974659809705,0,0.153046663238425,0.192797540628063,0.183764183677008,0.0942707851504195,0.162541809809978
"IL",0,0.168727219061154,0.224461965510588,0.202660590142588,0.1088451167305,0.187864645667112,0,0.22644784339681,0.250119264375828,0.228922682299022,0.132190138610738,0.219292770679819,0,0.107473606735064,0.199212847073298,0.177749562893101,0.0905586424871189,0.158282632934502
"IN",0,0.323703949323293,0.268114944521092,0.262502295329638,0.127393060315018,0.244796197797818,0,0.293029297742683,0.282026595321322,0.294844236793465,0.160105359232906,0.265959183050171,0,0.354829888543851,0.25406185200637,0.231117324433194,0.102020520365239,0.224884572309452
"IA",0,0.218991479564695,0.283531147185182,0.202407499648407,0.110044310685537,0.209593789848451,0,0.212490674325988,0.299847985099883,0.209103805713035,0.13337749317575,0.224161555626896,0,0.22574593356033,0.266529840919119,0.195871301949305,0.0914602498025478,0.195584683367534
"KS",0,0.203797750487195,0.272449276048373,0.227777881318973,0.102022116664933,0.213010719060034,0,0.235559655558614,0.307838117918211,0.231429711270753,0.11464601679965,0.236000170001421,0,0.168768862261885,0.23595447884673,0.224193134618548,0.0918681784389588,0.190657152662879
"KY",0,0.296350288394423,0.368438969355088,0.310222847287238,0.144722015490569,0.293492584481074,0,0.331140250734117,0.370170530158305,0.315504196155442,0.143156893830699,0.304527198396323,0,0.259700679738621,0.366695528411238,0.305161143231064,0.14592773629762,0.283099879209603
"LA",0,0.199067130113704,0.31191967652374,0.284048790637216,0.135991392610824,0.253793776483567,0,0.248007931717688,0.358942830679286,0.303753000397113,0.127536663944958,0.285162735357156,0,0.148611039558975,0.265893938789844,0.26538247983574,0.142528211621655,0.224663953952204
"ME",0,0.239927012738232,0.33869877083129,0.230536474118742,0.0975943315088766,0.230310473941357,0,0.212403499658526,0.370720396835154,0.251063241127371,0.103922838509637,0.249113755083784,0,0.26930964907106,0.307227058835797,0.210949822516369,0.0923649552868375,0.212669694995304
"MD",0,0.190530671823039,0.2172016057972,0.204597515670021,0.0879742337475577,0.184083137213044,0,0.209815674952462,0.2570869686855,0.229359549768879,0.103065427378336,0.214257045912415,0,0.169033797601687,0.177620752116115,0.181997702985638,0.0763873461161953,0.156160589385599
"MA",0,0.170265893675413,0.209403207096871,0.183973538066777,0.0973022155377799,0.171440832010771,0,0.250996858802277,0.240310919895428,0.209667997413483,0.0983528408195369,0.202763822240729,0,0.0875683525497645,0.179937456363708,0.160741287982543,0.0965187805339433,0.143293067318489
"MI",0,0.195333241483603,0.329171599583493,0.259020102857408,0.119874458212685,0.241727624362146,0,0.222662473078306,0.344317412959338,0.293766918652952,0.118315921729516,0.264953173945634,0,0.16549356996057,0.314183087542551,0.225417756042343,0.121137184287166,0.219693441569532
"MN",0,0.207642889424754,0.257630183989221,0.200234547930036,0.0861920531637659,0.197071911401785,0,0.219714836190321,0.284671768353629,0.205547166340288,0.0884113728373849,0.213229643891306,0,0.1947394174685,0.230006338805653,0.194935365795652,0.0843917844908297,0.181361182497191
"MS",0,0.240695787388883,0.306844739170218,0.297880241339525,0.124578702536267,0.257547165766528,0,0.308836377554117,0.378279141874862,0.335317848183139,0.161081417058833,0.31273595788423,0,0.168596711290793,0.237322543763482,0.26402808652127,0.0967533191191529,0.20686624712439
"MO",0,0.223366220881462,0.349965544944797,0.277321859006415,0.127544385162409,0.259654054839649,0,0.239808224283941,0.385270193422128,0.283919839960476,0.140126301621992,0.281636705790139,0,0.205798040741927,0.314435372793131,0.270965648459002,0.11733212548313,0.238780245097165
"MT",0,0.272204509796435,0.313540152196566,0.2276819156643,0.104894942350048,0.231086805373364,0,0.278065283505642,0.342527555299169,0.207593671635796,0.110814467906479,0.237228112150762,0,0.26547298695234,0.2832974712896,0.247129594174911,0.0995565049196597,0.22495513627482
"NE",0,0.224819727287387,0.256940836228452,0.206407393918589,0.101006072076889,0.204593560611173,0,0.238420419281928,0.283613031348065,0.216160870811739,0.112758129794984,0.224273999246618,0,0.210053799671502,0.229497155765588,0.196674596327483,0.091618844828918,0.185412365607904
"NV",0,0.205187983632981,0.280924705729106,0.190335241167148,0.155114963476569,0.216332253635727,0,0.253473049862788,0.349561190414134,0.200051029729522,0.153478714359289,0.251918659715374,0,0.155924736536779,0.208647904935502,0.180441723492943,0.156556819198689,0.180819642728879
"NH",0,0.169747891325166,0.263848865319119,0.205162225586002,0.0772600682019565,0.191357780761631,0,0.199994057196698,0.263886268935463,0.215614670130089,0.0742804080970948,0.199386704382871,0,0.131790890042773,0.263814182105924,0.194917516312464,0.0797661443239704,0.183670092354181
"NJ",0,0.164579692320389,0.217978694944964,0.179862392369397,0.0870208044984031,0.170704992012029,0,0.210638831206184,0.268770423139566,0.182932347083438,0.0914859881601902,0.198263372328231,0,0.115855266551778,0.167758418679059,0.17695208182806,0.0836817793746535,0.145236721189175
"NM",0,0.225444281949006,0.270817281657606,0.218361268363401,0.127654260398624,0.217205921692863,0,0.218978136686769,0.306371843078885,0.246429022696673,0.140549138234212,0.242572292774785,0,0.232169340804661,0.234030375321008,0.192344958420937,0.116983167674389,0.193049074130415
"NY",0,0.193290907983972,0.234882301988053,0.198370966031089,0.0949682216238549,0.188268085292044,0,0.23952026455238,0.280223809285101,0.205082339779395,0.110394022092037,0.21770824383805,0,0.143716642606158,0.190709779914667,0.191960434654784,0.0836909386207786,0.16106257943147
"NC",0,0.280319875676122,0.260142892856031,0.23419027550637,0.102135339858183,0.220493947696585,0,0.334212807464531,0.303175150637153,0.245549834449894,0.113518919581476,0.251925688465661,0,0.222842224170996,0.218250983491066,0.223695591087368,0.0934577374109545,0.191610811315409
"ND",0,0.282910126711653,0.296412129741078,0.222972306104358,0.0993817707150622,0.230940456569963,0,0.302653929478818,0.349101563100931,0.251967636586078,0.132709334557539,0.27150002084879,0,0.260065862695083,0.236619100318259,0.193085820900646,0.0713817552768469,0.188878235920067
"OH",0,0.265119190663857,0.316872874827307,0.271930157963382,0.113701728585586,0.250775552001249,0,0.241106747974162,0.339402440233817,0.286372024622865,0.120881192497995,0.265393052254392,0,0.28939924920104,0.294351796937167,0.257933554858081,0.10817160867351,0.237135818045248
"OK",0,0.258642173854793,0.304777259205846,0.264932425959786,0.140446985090669,0.253037084634275,0,0.231016143145302,0.354606988954027,0.274936640080675,0.161750307846999,0.27571625026988,0,0.290685208971044,0.255284098345141,0.25533226092678,0.123054185628252,0.231175449262633
"OR",0,0.239300358908862,0.25978854570359,0.220163046515043,0.109322365528616,0.21115959409508,0,0.228846725094285,0.274630964733142,0.23850598119425,0.122919464849905,0.226283345094353,0,0.249814622608572,0.24451908525774,0.202582824152086,0.097915535767407,0.196636601159703
"PA",0,0.210251413690418,0.286188357458168,0.229988468003013,0.108146822626162,0.216257704926457,0,0.216153031079327,0.302286246477007,0.244590234827241,0.110261303281238,0.231494109986682,0,0.204173077936504,0.26951222262976,0.216147795039378,0.10654853462479,0.202015098976522
