"","18-99","18-24","25-44","45-64","65p","18-99m","18-24m","25-44m","45-64m","65pm","18-99f","18-24f","25-44f","45-64f","65pf"
"IL",0.154621352172178,0.118512983835942,0.203712822718277,0.15246564347063,0.0977269260114135,0.188932176445841,0.132055458735529,0.256079343510111,0.176175630151759,0.122928632704446,0.120754363609116,0.0971068318436653,0.148610811691114,0.131070442051354,0.0763866268924133
"IN",0.210992579078782,0.183586451246653,0.249396587580435,0.250481888587474,0.105682846404937,0.233223835329726,0.210335201838142,0.275156383523743,0.264197267123408,0.120628822750586,0.189799885974628,0.151032612997088,0.224655387187087,0.237200896663688,0.0944329609943598
"IA",0.166003015805507,0.143656553997328,0.222934364472141,0.175501975532771,0.0855729315777408,0.179870899980124,0.139153914761884,0.25286870817652,0.182536342479616,0.0878849854331079,0.152863601280328,0.145201537053507,0.192256138756292,0.16968794439195,0.084434576942243
"KS",0.172499696797906,0.141307215068155,0.222120532476367,0.194777034381011,0.0819443305796329,0.182578112993802,0.153813168131239,0.239900676591289,0.189485022208876,0.0915878886254265,0.162739180044216,0.12680796963165,0.204084572105526,0.199685557677201,0.074362676432594
"KY",0.233819151572944,0.204390421325853,0.30846329406964,0.239117910546186,0.130704687558745,0.231764951115531,0.210571278119246,0.286242741269141,0.23956812707195,0.141765344037356,0.23317716806657,0.197764622517319,0.329559649067971,0.231011087463792,0.122767300947573
"LA",0.205279357395309,0.131121960204583,0.256074482406221,0.232223499696012,0.120132137748947,0.227730616282928,0.148962796832826,0.292962235315766,0.242966055568972,0.130058485621079,0.18348769955834,0.105514177339965,0.218104831827924,0.223534155308164,0.111166201633886
"ME",0.177537299492883,0.144065126260359,0.258307199554329,0.189092931972029,0.0849204635730458,0.200850547538786,0.149634236943097,0.30037497453064,0.21042992770954,0.0889351256331029,0.154851051923381,0.139771164656222,0.212209079065689,0.169878022592588,0.0811949562041585
"MD",0.12546624099911,0.0800302493132932,0.153795324198333,0.140679009223447,0.0790201441311321,0.139810881147053,0.0778208434921124,0.176239116593494,0.156568375744555,0.0836235651952479,0.112655868826022,0.0828671665773148,0.13224093035678,0.126860774868905,0.0756158821373101
"MA",0.13381892712638,0.100861054420623,0.171525862284779,0.138191676317674,0.0898544482191168,0.1517185412326,0.12086197329586,0.209036948695724,0.139655147425113,0.0958819605330063,0.116970958046801,0.0820010990013792,0.132698529720798,0.137435644968242,0.0849841431586076
"MI",0.188990019085879,0.125629900936229,0.273456485168829,0.203692714214731,0.0881814557498206,0.21062303387945,0.153127516471861,0.309945499152959,0.205360840815349,0.106515397741194,0.168619053247857,0.0966928091368783,0.23710777992134,0.202162464305278,0.0734770643705619
