"","yr2010","yr2011","yr2012","yr2013","yr2014","yr2015","yr2016","yr2017","yr2018","yr2019","yr2020","yr2021","yr2022","yr2023","yr2024","yr2025","yr2026","yr2027","yr2028","yr2029","yr2030","yr2031","yr2032","yr2033","yr2034","yr2035","yr2036","yr2037","yr2038","yr2039","yr2040","yr2041","yr2042","yr2043","yr2044","yr2045","yr2046","yr2047","yr2048","yr2049","yr2050","yr2051","yr2052","yr2053","yr2054","yr2055","yr2056","yr2057","yr2058","yr2059","yr2060"
"pop_14",12294142,12162594,12173994,12323204,12587480,12462256,12212826,12302504,12427866,12434388,12507466,12657574,12653282,12315922,12354160,12370748,12333794,12335880,12450560,12546534,12641186,12734272,12822190,12904806,12978676,13040290,13090910,13133680,13171612,13205660,13235774,13260742,13280878,13298888,13316322,13333856,13353858,13377308,13405152,13437174,13472294,13509938,13549536,13591550,13635462,13681546,13730168,13780570,13832992,13887286,13942484
"pop_15",12438692,12385894,12256788,12270564,12386164,12632672,12507972,12259250,12349344,12475154,12481924,12555798,12706314,12702498,12365694,12404286,12421178,12384652,12387176,12502282,12598586,12693598,12787008,12875310,12958220,13032422,13094352,13145254,13188392,13226574,13260868,13291278,13316460,13336806,13355076,13372720,13390446,13410666,13434288,13462306,13494476,13529788,13567596,13607338,13649490,13693498,13739674,13788372,13838900,13891472,13945808
"pop_16",12589674,12531286,12480678,12353752,12391454,12443672,12690648,12566552,12318544,12409204,12535502,12543252,12617748,12768778,12765528,12429368,12468402,12485704,12449752,12452790,12568388,12665166,12760650,12854454,12943148,13026494,13101060,13163420,13214762,13258220,13296754,13331420,13362172,13387656,13408284,13426822,13444832,13462812,13483224,13507062,13535314,13567718,13603254,13641262,13681196,13723486,13767668,13813968,13862818,13913470,13966120
"pop_17",12847146,12683118,12626558,12577756,12442136,12464126,12516934,12764404,12641042,12393974,12485252,12612872,12621346,12696594,12848282,12845706,12510320,12549938,12567802,12532564,12536162,12652440,12749760,12845746,12940112,13029336,13113176,13188286,13251164,13302982,13346946,13385932,13421052,13452180,13478046,13499058,13517960,13536262,13554616,13575330,13599434,13628012,13660764,13696506,13734730,13774910,13817482,13861856,13908328,13957312,14008084
"pop_18",13072636,12939534,12776922,12721684,12518858,12531588,12554600,12608100,12856340,12733796,12487790,12580584,12709160,12718606,12794706,12947264,12945406,12611018,12651354,12669922,12635488,12639872,12756878,12854862,12951580,13046542,13136374,13220942,13296676,13360140,13412578,13457120,13496692,13532282,13563950,13590324,13611760,13631068,13649886,13668624,13689718,13714170,13743220,13776280,13812304,13850798,13891334,13934136,13978712,14025380,14074596
"pop_19",13298084,13159220,13026952,12865172,12782862,12624086,12637664,12661754,12716166,12965328,12843816,12599750,12693680,12823400,12833882,12910972,13064524,13063576,12730302,12771506,12790934,12757394,12762694,12880494,12979284,13076792,13172520,13263180,13348474,13424940,13489138,13542194,13587480,13627640,13663812,13696108,13723042,13744996,13764868,13784156,13803346,13824922,13849828,13879276,13912682,13949104,13987922,14028762,14071838,14116666,14163612
"pop_20",13364316,13384974,13246388,13114384,13045472,12899468,12741712,12756270,12781568,12837034,13087144,12967654,12725042,12820162,12951158,12962806,13041050,13195630,13195682,12863654,12905780,12926084,12893580,12899778,13018548,13118280,13216624,13313244,13404716,13490814,13568116,13633060,13686900,13732892,13773692,13810568,13843542,13871034,13893576,13913992,13933778,13953542,13975658,14000974,14030806,14064688,14101460,14140642,14181854,14225218,14270304
"pop_21",13025170,13445328,13465706,13326912,13219598,13168314,13023782,12867084,12882784,12909320,12965926,13217960,13099800,12858606,12954956,13087322,13100166,13179646,13335300,13336360,13005610,13048748,13069988,13038554,13045694,13165520,13266144,13365456,13462922,13555316,13642196,13720398,13786098,13840702,13887454,13928912,13966514,14000084,14028216,14051434,14072366,14092752,14113054,14135626,14161436,14191736,14225992,14263172,14302756,14344264,14387938
"pop_22",12827250,13099164,13518464,13538212,13607950,13344468,13293850,13150792,12995212,13012034,13039834,13098286,13351748,13234972,12995122,13092764,13226468,13240578,13321252,13478024,13480138,13150692,13194832,13217034,13186656,13194760,13315634,13417208,13517472,13615842,13709104,13796826,13875882,13942360,13997762,14045262,14087460,14125728,14159966,14188758,14212518,14234104,14255048,14275868,14298982,14325210,14355982,14390708,14428222,14468224,14510068
"pop_23",12662798,12906620,13177558,13595844,13924598,13732614,13470528,13420526,13278906,13124470,13142328,13172254,13232042,13486824,13371354,13132948,13231874,13366900,13382186,13464150,13621924,13625090,13296898,13342090,13365204,13335890,13345020,13466870,13569450,13670564,13769866,13863954,13952630,14032426,14099796,14155878,14204200,14247056,14286082,14320956,14350386,14374778,14396986,14418464,14439768,14463400,14490108,14521340,14556404,14594382,14634778
