"","yr2010","yr2011","yr2012","yr2013","yr2014","yr2015","yr2016","yr2017","yr2018","yr2019","yr2020","yr2021","yr2022","yr2023","yr2024","yr2025","yr2026","yr2027","yr2028","yr2029","yr2030","yr2031","yr2032","yr2033","yr2034","yr2035","yr2036","yr2037","yr2038","yr2039","yr2040","yr2041","yr2042","yr2043","yr2044","yr2045","yr2046","yr2047","yr2048","yr2049","yr2050","yr2051","yr2052","yr2053","yr2054","yr2055","yr2056","yr2057","yr2058","yr2059","yr2060"
"pop_47",27191818,27245204,26863198,25281900,24577262,24533598,25050820,26415824,26101812,24716758,23690942,23393602,24181236,23555986,24326852,24648420,25227760,26912938,26538960,26942732,27076870,26865418,27854958,27863494,27981614,28650920,29525986,30871436,31199846,30985956,30576084,30459536,30198694,29898212,29916492,30037494,30198504,30755668,30528452,30067758,30304770,30631492,30717550,30929708,31264626,31272352,30630676,30752590,30874620,30822354,30882918
"pop_48",27255334,27150744,27206300,26827714,25039360,24552410,24508142,25026584,26388428,26077098,24697540,23674158,23379822,24166292,23544716,24315220,24637514,25217294,26899576,26528970,26933366,27068336,26859470,27848178,27858364,27977816,28647246,29522552,30867076,31196524,30984534,30577334,30462308,30203408,29905004,29924604,30046772,30208806,30766480,30541066,30082442,30320246,30647938,30734878,30947870,31283314,31291906,30651958,30774522,30897182,30845756
"pop_49",27449732,27203782,27102000,27159770,26547276,25001332,24518748,24474202,24993694,26352202,26043714,24668616,23649492,23358208,24143698,23525946,24296096,24619030,25199288,26878280,26511240,26916284,27052170,26845920,27833610,27845616,27966518,28635934,29511440,30854866,31185520,30975504,30570906,30457606,30200760,29904502,29925458,30048776,30211970,30770154,30546592,30090058,30328796,30657390,30745266,30959146,31295082,31304608,30666624,30789740,30913132
"pop_50",27879676,27387372,27144932,27046054,27044914,26491740,24954658,24476474,24432022,24952362,26307440,26000636,24631796,23617486,23329334,24113714,23500062,24269772,24593282,25173910,26849462,26486106,26891804,27028620,26825098,27811694,27825722,27948062,28617504,29493070,30835348,31167122,30959110,30557442,30445842,30191180,29897142,29919618,30044112,30208502,30767110,30545460,30091200,30330902,30660422,30749292,30964096,31300548,31311062,30675042,30798890
"pop_51",26861242,27806254,27319034,27080214,27027628,26975958,26427360,24899164,24425570,24381422,24902484,26252612,25949284,24587098,23577930,23292972,24076330,23466900,24236006,24560206,25141096,26812998,26453400,26859732,26997556,26796754,27782444,27798498,27922376,28591686,29467316,30808268,31141190,30935392,30536724,30426882,30174482,29882828,29906812,30032596,30198234,30757256,30537680,30085820,30326414,30656898,30746912,30962566,31299472,31311180,30677170
"pop_52",26760974,26783562,27726858,27244934,26984362,26947040,26898402,26354372,24835560,24366498,24322994,24843364,26189782,25890042,24535070,23531332,23249848,24031888,23426902,24195288,24520214,25101392,26769320,26413666,26820592,26959418,26761720,27746268,27764372,27889772,28558998,29434710,30774122,31108214,30904782,30509144,30401150,30151162,29861958,29887632,30014680,30181522,30741122,30523598,30074222,30315806,30647334,30738454,30955042,31292486,31305300
"pop_53",26176364,26674718,26699988,27641478,27321136,26894298,26858424,26812998,26273656,24764484,24300134,24256212,24777244,26119698,25823856,24476408,23478488,23200526,23981190,23380824,24148428,24474040,25055390,26719190,26367540,26775068,26915144,26720604,27703924,27724114,27851082,28520238,29395820,30733602,31068922,30867814,30475396,30369390,30121772,29835326,29862710,29990984,30159224,30719222,30503954,30057162,30299816,30632390,30724660,30942182,31280104
"pop_54",25452362,26082804,26581482,26609614,27554660,27217744,26795936,26761868,26719704,26185210,24686040,24225164,24182572,24704220,26042576,25750758,24411240,23419424,23145098,23924256,23328708,24095384,24421610,25003172,26662420,26315020,26723324,26864678,26673404,27655462,27677692,27806294,28475258,29350590,30686648,31023110,30824406,30435392,30331436,30086488,29802836,29831858,29961634,30131154,30691522,30478652,30034674,30278384,30611982,30705438,30923926
"pop_55",25353740,25351296,25981270,26480298,26635328,27436852,27106358,26689594,26657650,26618656,26089150,24598848,24143162,24102214,24624542,25958426,25670890,24339616,23354130,23083684,23861118,23270662,24036324,24363156,24944764,26599050,26256300,26665408,26808118,26620148,27600674,27625150,27755388,28423994,29299086,30633016,30970650,30774560,30388994,30287354,30045070,29764400,29795182,29926330,30097206,30658034,30447630,30006564,30251366,30585982,30680668
"pop_56",24205730,25240510,25241520,25870952,26481196,26511576,27310608,26986450,26574838,26545144,26509332,25983342,24504076,24053742,24014716,24537642,25866804,25583608,24260994,23282184,23015662,23791378,23206110,23970636,24298042,24879568,26528834,26190782,26600710,26744694,26560164,27539022,27565804,27697706,28365890,29240458,30572184,30910968,30717530,30335676,30236378,29996888,29719286,29751986,29884486,30056818,30618092,30410264,29972226,30218134,30553794
"pop_57",23447502,24085920,25116876,25121472,26193030,26345930,26379274,27175754,26857976,26451602,26424288,26389814,25869358,24401734,23956978,23920026,24443494,25767602,25488886,24175290,23203544,22941142,23714822,23134994,23898248,24226156,24807754,26451646,26118442,26529146,26674440,26493494,27470576,27499714,27633264,28300980,29174858,30504102,30844060,30653314,30275316,30178514,29942006,29667524,29702196,29836172,30010060,30571670,30366528,29931658,30178848
"pop_58",22664296,23317226,23954270,24980936,25257926,26047066,26202062,26238590,27032192,26721008,26319956,26293250,26262210,25747606,24292054,23853172,23818410,24342340,25661006,25386926,24082844,23118462,22860200,23631830,23057682,23819430,24148042,24729542,26367776,26039610,26451044,26597778,26420454,27395600,27427144,27562464,28229526,29102636,30429160,30770296,30582410,30208366,30114140,29880712,29609640,29646382,29781828,29957260,30519222,30316846,29885422
"pop_59",21825132,22523470,23174790,23810218,25037606,25106144,25892816,26049892,26089594,26880222,26575748,26178428,26154474,26127038,25618390,24175484,23742702,23710210,24234492,25547548,25278226,23984116,23027364,22773470,23542906,22974534,23734980,24064212,24645608,26277766,25954894,26367042,26515258,26341686,27314750,27348770,27485854,28152254,29024350,30347894,30690316,30505346,30135426,30043888,29813684,29546136,29585014,29721986,29899062,30461188,30261780
"pop_60",21738940,21673908,22370078,23019518,24014126,24874452,24946102,25730072,25889300,25932210,26719748,26420222,26028926,26008042,25984160,25481762,24051990,23625600,23595430,24120040,25427146,25162806,23879098,22930342,22680914,23448024,22885922,23644836,23974764,24555908,26181716,25864244,26277144,26426876,26257214,27227948,27264624,27403468,28069100,28940122,30260482,30604118,30422204,30056580,29967800,29741020,29477126,29518222,29656720,29835386,30397854
"pop_61",20871492,21569132,21508672,22202324,23102524,23846738,24702420,24777128,25558108,25719668,25765836,26548302,26255844,25870942,25853230,25832996,25337124,23921004,23501136,23473488,23998210,25299110,25040002,23767068,22826736,22581854,23346732,22791076,23548320,23878940,24459702,26078840,25766998,26180588,26331978,26166154,27134516,27173756,27314402,27979254,28848994,30166140,30510918,30332256,29971054,29885172,29661834,29401882,29445080,29585324,29765634
"pop_62",20846698,20690208,21383982,21328184,22208784,22927776,23669238,24520214,24597896,25375788,25539640,25587210,26366502,26081176,25703060,25688670,25672128,25183066,23781114,23368054,23342874,23867656,25162002,24908146,23646616,22715030,22474988,23237452,22688496,23443876,23775034,24355500,25967532,25661386,26075610,26228690,26066946,27032636,27074518,27216958,27880842,28749260,30062854,30408678,30233464,29876856,29793920,29574336,29318402,29363908,29505738
"pop_63",20522826,20644920,20493446,21182946,21520128,22026920,22742008,23480196,24326078,24406848,25181374,25346022,25396758,26172530,25894716,25523536,25512428,25499728,25017664,23630506,23224452,23201804,23726524,25013784,24765388,23515792,22593498,22358396,23118272,22576236,23329468,23661236,24241188,25845604,25545370,25960136,26114812,25957306,26920080,26964548,27108890,27771644,28638528,29948090,30295122,30123422,29771482,29691740,29476054,29224264,29272076
"pop_64",16883022,20302942,20426848,20280548,20999284,21327434,21833294,22544232,23278574,24119002,24202930,24972264,25139332,25193160,25965230,25695032,25331048,25323320,25314480,24839592,23467984,23069138,23049172,23573522,24853240,24610382,23373560,22460902,22230952,22987896,22453164,23203924,23536294,24115346,25711598,25417544,25832604,25988930,25835750,26795136,26842362,26988634,27650148,28515128,29820204,30168326,30000268,29653256,29576870,29365202,29117834
"pop_65",15748860,16687362,20065998,20191680,20389236,20791652,21120708,21625382,22331650,23061694,23896124,23982134,24747258,24916756,24973722,25741610,25479286,25122780,25118422,25113346,24645960,23290696,22899370,22882080,23405842,24677280,24440368,23216926,22314538,22089826,22843464,22316398,23064518,23397166,23975200,25562620,25274714,25690040,25848000,25699202,26654926,26704878,26853130,27513132,28375868,29675958,30025038,29860798,29518968,29445994,29238620
"pop_66",15589366,15547584,16476316,19810936,20190286,20167526,20568030,20897680,21400584,22101864,22827058,23653944,23743210,24503802,24675790,24735818,25499078,25244766,24895938,24894924,24893768,24434262,23096188,22712526,22697976,23220814,24483536,24252628,23043434,22151924,21932670,22682638,22163586,22908626,23241438,23818252,25395844,25114396,25529826,25689342,25545154,26496782,26549472,26699642,27357888,28217908,29512432,29862482,29702216,29365872,29296458
