13,
* 
* OCD parameters for SHG v6.2.x
* 
* 
* Data for All Race Male and All Races Female 
* Probabilities of dying from condition other than lung cancer by race, sex, year of birth, age and smoking status/intensity
* 
* The first line following these comments contains the following values:
* Number of Race Values,Number of Sex Values,Min Year of Birth,Max Year of Birth,Min Age,Max Age
* The subsequent statistics in this file are comma-delimited as follows:
* Race,Sex,Year of Birth,Age,Never Smokers Prob of Dying,Current Smokers in Group 1 Prob of Dying,Current Smokers in Group 2 Prob of Dying,Current Smokers in Group 3 Prob of Dying,Current Smokers in Group 4 Prob of Dying,Current Smokers in Group 5 Prob of Dying,Current Smokers in Group 6 Prob of Dying
0,0,1891,28,0.0049332235,0.0049332235,0.0049332235,0.0049332235,0.0049332235,0.0049332235,0.0049332235
0,0,1891,29,0.005030434,0.005030434,0.005030434,0.005030434,0.005030434,0.005030434,0.005030434
0,0,1891,30,0.0048976436,0.0048976436,0.0048976436,0.0048976436,0.0048976436,0.0048976436,0.0048976436
0,0,1891,31,0.0049448545,0.0049448545,0.0049448545,0.0049448545,0.0049448545,0.0049448545,0.0049448545
0,0,1891,32,0.0047020634,0.0047020634,0.0047020634,0.0047020634,0.0047020634,0.0047020634,0.0047020634
0,0,1891,33,0.0048374827,0.0048374827,0.0048374827,0.0048374827,0.0048374827,0.0048374827,0.0048374827
0,0,1891,34,0.0051829064,0.0051829064,0.0051829064,0.0051829064,0.0051829064,0.0051829064,0.0051829064
0,0,1891,35,0.0054983323,0.0054983323,0.0054983323,0.0054983323,0.0054983323,0.0054983323,0.0054983323
0,0,1891,36,0.0060137648,0.0060137648,0.0060137648,0.0060137648,0.0060137648,0.0060137648,0.0060137648
0,0,1891,37,0.0059691901,0.0059691901,0.0059691901,0.0059691901,0.0059691901,0.0059691901,0.0059691901
0,0,1891,38,0.0054966441,0.0054966441,0.0054966441,0.0054966441,0.0054966441,0.0054966441,0.0054966441
0,0,1891,39,0.0055641152,0.0055641152,0.0055641152,0.0055641152,0.0055641152,0.0055641152,0.0055641152
0,0,1891,40,0.0029440464,0.0042642272,0.0054201249,0.006773015,0.0083456469,0.0100817359,0.0105980886
0,0,1891,41,0.0031246658,0.0044155917,0.0056712657,0.0071698426,0.0087522553,0.0105232738,0.0108353964
0,0,1891,42,0.0032824693,0.0045297378,0.0058770011,0.0075126181,0.0090895951,0.0108795261,0.010975707
0,0,1891,43,0.0035461272,0.004811258,0.0063038848,0.0081436158,0.0095766571,0.0113623403,0.0115121318
0,0,1891,44,0.0036743459,0.0049053767,0.006488878,0.0084671321,0.0096860918,0.0113911343,0.0115915228
0,0,1891,45,0.0039838614,0.0052375092,0.0069928708,0.0092125387,0.0102602602,0.0119596109,0.0122235289
0,0,1891,46,0.0041181624,0.0053352618,0.0071880411,0.009556625,0.0103700872,0.0119799975,0.0122988113
0,0,1891,47,0.0045449225,0.0058051358,0.0078901725,0.0105822069,0.0111961124,0.0128183516,0.0132186356
0,0,1891,48,0.0050084731,0.0063181799,0.0085954492,0.0115438863,0.0121978752,0.0138393054,0.0142090275
0,0,1891,49,0.005449996,0.0067893179,0.0092449513,0.0124331044,0.0131206395,0.014751101,0.0150775754
0,0,1891,50,0.0059183428,0.0072784924,0.0099202183,0.0133593542,0.0140801178,0.0156851538,0.0159592712
0,0,1891,51,0.0066350972,0.0080524319,0.0109851902,0.0148135418,0.0155929124,0.0172106032,0.0174299646
0,0,1891,52,0.0072394807,0.0087161213,0.0119015612,0.0160708987,0.0168949964,0.0184750732,0.0186217437
0,0,1891,53,0.0078273245,0.0093511746,0.0127804574,0.0172808606,0.0181440818,0.019655979,0.0197160029
0,0,1891,54,0.0080687994,0.0095692875,0.013090578,0.0177238626,0.0185858217,0.0199455036,0.0199073771
0,0,1891,55,0.0087453869,0.0103019854,0.0141058271,0.0191239036,0.0200288384,0.0212909001,0.0211427382
0,0,1891,56,0.0096319278,0.0112776397,0.0154558779,0.0209820527,0.0219475001,0.0231083703,0.0228289781
0,0,1891,57,0.0106446561,0.0123943738,0.0170018943,0.0231113755,0.0241447542,0.0251781329,0.024742339
0,0,1891,58,0.0114863741,0.0133786691,0.0182896623,0.0248046449,0.0258652851,0.0269567404,0.0262876581
0,0,1891,59,0.0126443643,0.0147371293,0.0200775413,0.0271656806,0.0282732375,0.0294489136,0.0284915484
0,0,1891,60,0.0141611351,0.016519534,0.0224277054,0.0302733956,0.0314463108,0.0327341546,0.0314123162
0,0,1891,61,0.015403482,0.0180376813,0.0244029028,0.0328599653,0.0340652569,0.0354384431,0.0337217279
0,0,1891,62,0.0170331101,0.0200433342,0.0270201985,0.0362949437,0.0375498775,0.039038818,0.0368253265
0,0,1891,63,0.019187269,0.0227186384,0.0305170428,0.0408897307,0.0422158682,0.0438613941,0.0410033401
0,0,1891,64,0.0207017488,0.0245897462,0.0329108655,0.0439852532,0.045315658,0.047050769,0.0435768393
0,0,1891,65,0.0226542847,0.0270107308,0.0360188596,0.0480147921,0.0493600935,0.0512152206,0.046978411
0,0,1891,66,0.0248355402,0.0297458297,0.0395194645,0.052542929,0.0538957194,0.0558823457,0.0507498141
0,0,1891,67,0.026287507,0.0316527844,0.0418958411,0.0555536508,0.056855218,0.0589088208,0.0529471496
0,0,1891,68,0.0294602868,0.0356877852,0.0470581684,0.06222931,0.0635401707,0.0657870017,0.0584975389
0,0,1891,69,0.0313535319,0.0382345903,0.050223895,0.0662320064,0.0674674272,0.0698006306,0.0613783386
0,0,1891,70,0.0340170064,0.0417807728,0.0546702093,0.0718926573,0.0730566933,0.0755248947,0.065647266
0,0,1891,71,0.0372761854,0.0461319472,0.0601281512,0.0788435333,0.0799220021,0.0825567315,0.070900732
0,0,1891,72,0.0411924307,0.0513837778,0.0667090948,0.087217826,0.0881870943,0.0910202296,0.077196284
0,0,1891,73,0.0441741768,0.0556459476,0.0718913583,0.0935307907,0.094544024,0.0974998828,0.0814341867
