birthyear,age,p_berkeley,q_nlung,final
1865,77,0.09686,0.0960618598,0.0800701147
1865,78,0.106311,0.1055489436,0.0893859128
1865,79,0.11184,0.1111123204,0.0955848519
1865,80,0.116381,0.1156862898,0.1010404534
1865,81,0.124618,0.1239589098,0.1098307543
1865,82,0.136634,0.1360121862,0.1221612649
1865,83,0.148477,0.1478714093,0.1332779809
1865,84,0.162586,0.1619975712,0.1465011108
1865,85,0.17856,0.1779905236,0.1614845145
1865,86,0.187465,0.1869080192,0.1701311491
1865,87,0.200607,0.1999846422,0.1826517779
1865,88,0.208835,0.2081888985,0.1907229536
1865,89,0.222726,0.2220575532,0.2039902926
1865,90,0.245525,0.2448767514,0.2254751473
1865,91,0.257476,0.2567857243,0.2370484432
1865,92,0.28523,0.2845572701,0.2632283908
1865,93,0.30561,0.3049539565,0.2826754419
1865,94,0.329547,0.3287761632,0.3054724796
1865,95,0.340898,0.3401781724,0.3166426546
1865,96,0.375102,0.3742990254,0.3490960168
1865,97,0.390793,0.3900559282,0.3646335477
1865,98,0.389034,0.38822882,0.3639026965
1865,99,0.414636,0.4139110135,0.3887996196
1866,0,0.14596,0.14596,0.14596
1866,1,0.03282,0.03282,0.03282
1866,2,0.01634,0.01634,0.01634
1866,3,0.01052,0.0105198012,0.01052
1866,4,0.00875,0.0087496019,0.00875
1866,5,0.00628,0.0062794021,0.00628
1866,6,0.00462,0.0046192022,0.00462
1866,7,0.00326,0.003259002,0.00326
1866,8,0.00256,0.0025590016,0.00256
1866,9,0.00203,0.0020290013,0.00203
1866,10,0.00211,0.0021090014,0.00211
1866,11,0.00216,0.0021590014,0.00216
1866,12,0.00212,0.0021190014,0.00212
1866,13,0.00239,0.0023888019,0.00239
1866,14,0.00254,0.0025386024,0.00254
1866,15,0.00267,0.002668403,0.00267
1866,16,0.0032,0.003198204,0.0032
1866,17,0.00378,0.0037780052,0.00378
1866,18,0.00913,0.0091280108,0.00913
1866,19,0.00531,0.005308007,0.00531
1866,20,0.00507,0.0050680069,0.00507
1866,21,0.00437,0.0043680063,0.00437
1866,22,0.00449,0.0044880065,0.00449
1866,23,0.00472,0.0047176081,0.00472
1866,24,0.00456,0.0045572092,0.00456
1866,25,0.00462,0.0046168106,0.00462
1866,26,0.00467,0.0046664119,0.00467
1866,27,0.00457,0.004566013,0.00457
1866,28,0.00494,0.0049332238,0.00494
1866,29,0.00504,0.0050304339,0.00504
1866,30,0.00491,0.0048976433,0.00491
1866,31,0.00496,0.0049448544,0.00496
1866,32,0.00472,0.0047020639,0.00472
1866,33,0.004922,0.0048994834,0.004922
1866,34,0.005239,0.0052119066,0.005239
1866,35,0.005588,0.0055563334,0.005588
1866,36,0.005908,0.0058717619,0.005908
1866,37,0.00618,0.0061391931,0.00618
1866,38,0.006428,0.0063746668,0.006428
1866,39,0.006673,0.00660715,0.006673
1866,40,0.006945,0.0068666457,0.0040787357
1866,41,0.007307,0.0072161508,0.0042620659
1866,42,0.007791,0.0076876742,0.004514217
1866,43,0.00837,0.0082383293,0.004849332
1866,44,0.009015,0.0088550218,0.0052230498
1866,45,0.00972,0.0095317512,0.005631979
1866,46,0.010463,0.0102465405,0.0060634734
1866,47,0.011236,0.0109913721,0.0065130047
1866,48,0.012063,0.0117758075,0.0070235117
1866,49,0.012972,0.0126423983,0.0075870505
1866,50,0.013949,0.013577025,0.008196192
1866,51,0.01491,0.0144957488,0.008802034
1866,52,0.015823,0.0153665983,0.0093855678
1866,53,0.016688,0.0161785417,0.0100159246
1866,54,0.017508,0.0169455572,0.0106330433
1866,55,0.018342,0.0177266914,0.0112723933
1866,56,0.019425,0.0187570898,0.0120805999
1866,57,0.020855,0.020134741,0.0131250656
1866,58,0.022651,0.0218862237,0.014432273
1866,59,0.02485,0.0240411302,0.016030747
1866,60,0.027393,0.0265407089,0.0178924958
1866,61,0.029892,0.0289962644,0.0197703699
1866,62,0.032202,0.0312629014,0.0215673241
1866,63,0.034355,0.0334157174,0.0232984194
1866,64,0.036368,0.0354286524,0.0249767985
1866,65,0.03837,0.0374305242,0.0266898293
1866,66,0.040889,0.0399495992,0.0288103002
1866,67,0.044202,0.043263056,0.03155094
1866,68,0.049076,0.0481411706,0.0354892954
1866,69,0.05461,0.053679371,0.0400100787
1866,70,0.058515,0.0575881504,0.0434332519
1866,71,0.060708,0.0597842862,0.0456479248
1866,72,0.065338,0.064419229,0.049761393
1866,73,0.073016,0.0721218459,0.0564785382
1866,74,0.078353,0.0774827045,0.0615530167
1866,75,0.080771,0.0799226136,0.0644382363
1866,76,0.088452,0.0876285989,0.0718496859
1866,77,0.09652,0.0957217071,0.0797890509
1866,78,0.101914,0.1011500377,0.0856889307
1866,79,0.106033,0.1053029007,0.090621858
1866,80,0.114025,0.1133293457,0.0989950052
1866,81,0.123904,0.1232446352,0.109201478
1866,82,0.133905,0.1332821808,0.1197213298
1866,83,0.146929,0.1463228446,0.1318884437
1866,84,0.161563,0.1609742014,0.1455793178
1866,85,0.172359,0.1717834523,0.155876509
1866,86,0.189512,0.1888757814,0.1719888743
1866,87,0.196671,0.1959984702,0.1790680675
1866,88,0.205976,0.2052780047,0.1881119118
1866,89,0.228801,0.2281113989,0.2095542637
1866,90,0.250883,0.2501646954,0.2303956069
1866,91,0.258743,0.2580264859,0.2382149223
1866,92,0.287195,0.2865225765,0.2650418178
1866,93,0.316742,0.3159573909,0.2929720389
1866,94,0.313523,0.3127752536,0.2906190868
1866,95,0.358472,0.3576492656,0.3329662412
1866,96,0.38219,0.38144335,0.3559347114
1866,97,0.390146,0.3893421682,0.3642812955
1866,98,0.398041,0.3972972149,0.3725877004
1866,99,0.374751,0.3738844916,0.351646778
1867,0,0.14596,0.14596,0.14596
1867,1,0.03282,0.03282,0.03282
1867,2,0.01634,0.01634,0.01634
1867,3,0.01052,0.0105198012,0.01052
1867,4,0.00875,0.0087496019,0.00875
1867,5,0.00628,0.0062794021,0.00628
1867,6,0.00462,0.0046192022,0.00462
1867,7,0.00326,0.003259002,0.00326
1867,8,0.00256,0.0025590016,0.00256
1867,9,0.00203,0.0020290013,0.00203
1867,10,0.00211,0.0021090014,0.00211
1867,11,0.00216,0.0021590014,0.00216
1867,12,0.00212,0.0021190014,0.00212
1867,13,0.00239,0.0023888019,0.00239
1867,14,0.00254,0.0025386024,0.00254
