"","yr2010","yr2011","yr2012","yr2013","yr2014","yr2015","yr2016","yr2017","yr2018","yr2019","yr2020","yr2021","yr2022","yr2023","yr2024","yr2025","yr2026","yr2027","yr2028","yr2029","yr2030","yr2031","yr2032","yr2033","yr2034","yr2035","yr2036","yr2037","yr2038","yr2039","yr2040","yr2041","yr2042","yr2043","yr2044","yr2045","yr2046","yr2047","yr2048","yr2049","yr2050","yr2051","yr2052","yr2053","yr2054","yr2055","yr2056","yr2057","yr2058","yr2059","yr2060"
"pop_24",2101042,2108671,2148507,2192737,2296491,2314905,2282453,2238706,2229334,2205496,2179280,2181709,2186195,2195287,2236774,2217385,2177554,2193160,2214208,2215882,2228365,2252779,2252224,2197924,2204123,2208536,2203694,2204823,2221934,2238097,2253990,2269545,2284219,2297962,2310216,2320391,2328692,2335680,2341744,2347144,2351842,2355628,2358612,2361213,2363695,2366142,2368936,2372190,2376139,2380698,2385721
"pop_25",2094674,2116110,2123605,2163293,2208572,2316253,2334875,2302626,2259098,2249818,2226200,2200281,2202916,2207627,2216909,2258615,2239438,2199825,2215622,2236871,2238742,2251408,2275996,2275592,2221493,2227849,2232417,2227738,2229031,2246287,2262597,2278633,2294320,2309142,2323003,2335393,2345679,2354111,2361200,2367387,2372884,2377685,2381566,2384648,2387348,2389912,2392441,2395302,2398632,2402646,2407269
"pop_26",2073858,2110580,2131916,2139326,2162019,2227721,2335565,2354390,2322335,2278998,2269803,2246507,2220807,2223637,2228560,2238032,2279950,2260956,2221568,2237544,2258979,2261032,2273876,2298611,2298367,2244467,2250968,2255686,2251160,2252601,2270018,2286458,2302629,2318453,2333395,2347396,2359887,2370293,2378831,2386038,2392320,2397928,2402811,2406794,2409953,2412751,2415385,2417995,2420924,2424317,2428390
"pop_27",2093287,2090205,2126883,2148187,2128046,2180232,2246137,2354126,2373140,2341250,2298124,2289104,2266035,2240543,2243566,2248683,2258341,2300443,2281640,2242456,2258596,2280215,2282436,2295450,2320325,2320223,2266502,2273151,2278006,2273626,2275207,2292767,2309328,2325631,2341579,2356638,2370753,2383358,2393868,2402517,2409826,2416211,2421898,2426879,2430933,2434185,2437046,2439766,2442431,2445432,2448870
"pop_28",2119200,2109776,2106739,2143448,2140957,2145215,2197530,2263618,2371736,2390922,2359196,2316339,2307425,2284571,2259275,2262484,2267781,2277620,2319885,2301259,2262255,2278560,2300352,2302726,2315886,2340888,2340933,2287392,2294164,2299142,2294905,2296608,2314289,2330977,2347398,2363446,2378615,2392836,2405536,2416150,2424899,2432308,2438778,2444543,2449599,2453732,2457052,2459979,2462759,2465486,2468541
"pop_29",2163770,2135445,2126146,2123232,2165936,2156750,2161163,2213568,2279814,2388060,2407392,2375891,2333238,2324443,2301790,2276665,2280037,2285504,2295493,2337914,2319455,2280625,2297080,2319022,2321531,2334831,2359961,2360130,2306743,2313634,2318717,2314604,2316416,2334224,2351028,2367538,2383683,2398954,2413256,2426055,2436759,2445579,2453079,2459618,2465460,2470574,2474782,2478168,2481144,2483982,2486759
"pop_30",2144458,2178815,2150683,2141563,2106937,2180113,2171151,2175689,2228159,2294539,2402895,2422404,2391094,2348614,2339964,2317480,2292524,2296036,2301648,2311772,2354334,2336028,2297368,2313943,2336031,2338660,2352092,2377329,2377607,2324364,2331362,2336548,2332546,2334451,2352366,2369251,2385853,2402086,2417431,2431827,2444707,2455473,2464372,2471932,2478542,2484444,2489607,2493877,2497303,2500341,2503218
"pop_31",2054996,2158059,2192618,2164719,2144748,2119508,2192715,2183961,2188606,2241126,2307622,2416110,2435770,2404608,2362326,2353794,2331478,2306662,2310308,2316052,2326293,2368967,2350796,2312291,2328980,2351183,2353936,2367471,2392803,2393179,2340072,2347165,2352441,2348542,2350520,2368517,2385486,2402161,2418456,2433877,2448351,2461286,2472123,2481085,2488688,2495365,2501302,2506522,2510830,2514303,2517387
"pop_32",1999914,2067565,2170813,2205597,2149396,2155569,2130524,2203759,2195176,2199929,2252477,2319079,2427693,2447485,2416471,2374365,2365944,2343774,2319099,2322862,2328721,2339066,2381835,2363781,2325418,2342206,2364522,2367369,2381010,2406420,2406876,2353903,2361077,2366432,2362598,2364656,2382734,2399775,2416499,2432865,2448351,2462872,2475862,2486758,2495771,2503418,2510142,2516116,2521378,2525723,2529227
"pop_33",1958088,2011333,2079201,2182640,2130303,2158857,2165149,2140290,2213537,2205097,2209941,2262526,2329234,2437946,2457872,2426998,2385060,2376732,2354704,2330149,2334004,2339967,2350406,2393262,2375312,2337086,2353976,2376389,2379312,2393048,2418533,2419063,2366201,2373443,2378870,2375109,2377232,2395378,2412474,2429253,2445682,2461217,2475787,2488824,2499760,2508810,2516509,2523265,2529281,2534581,2538946
