"","yr2010","yr2011","yr2012","yr2013","yr2014","yr2015","yr2016","yr2017","yr2018","yr2019","yr2020","yr2021","yr2022","yr2023","yr2024","yr2025","yr2026","yr2027","yr2028","yr2029","yr2030","yr2031","yr2032","yr2033","yr2034","yr2035","yr2036","yr2037","yr2038","yr2039","yr2040","yr2041","yr2042","yr2043","yr2044","yr2045","yr2046","yr2047","yr2048","yr2049","yr2050","yr2051","yr2052","yr2053","yr2054","yr2055","yr2056","yr2057","yr2058","yr2059","yr2060"
"pop_61",3467474,3583285,3573021,3688238,3835472,3958655,4100120,4111943,4241359,4267767,4274945,4404079,4355355,4290948,4287723,4283946,4201266,3965870,3895749,3890566,3976753,4191561,4147745,3936222,3779412,3738191,3864469,3770621,3895223,3949361,4044906,4311996,4259786,4327891,4352294,4324545,4484329,4489896,4511834,4620618,4762945,4978908,5033062,5001159,4939795,4923263,4884730,4839869,4845580,4867058,4894807
"pop_62",3463670,3437336,3552504,3543017,3687663,3806448,3929170,4069857,4082185,4211086,4237881,4245300,4373909,4326370,4263091,4260421,4257257,4175708,3942666,3873679,3868911,3955114,4168840,4125899,3916264,3760910,3720498,3846378,3753649,3877948,3932180,4027679,4293598,4242335,4310546,4335227,4308154,4467495,4473505,4495748,4604378,4746491,4961874,5016217,4984888,4924289,4908252,4870353,4826153,4832252,4853997
"pop_63",3409970,3430126,3404629,3519085,3573492,3657448,3775593,3897769,4037620,4050467,4178808,4205741,4213691,4341718,4295426,4233305,4231183,4228655,4148269,3917684,3849864,3845523,3931722,4144276,4102247,3894587,3740782,3701196,3826648,3735075,3859025,3913363,4008783,4273442,4223162,4291463,4316412,4290038,4448896,4455344,4477905,4586358,4728219,4942945,4997499,4966758,4906941,4891438,4854196,4810683,4817168
"pop_64",2805058,3373416,3393875,3369242,3487116,3541478,3625280,3742744,3864281,4003236,4016612,4144092,4171436,4179902,4307319,4262292,4201368,4199810,4197921,4118730,3890725,3824105,3820216,3906363,4117667,4076564,3871018,3718822,3680097,3805066,3714710,3838259,3892700,3987981,4251286,4202034,4270385,4295610,4269955,4428251,4435165,4458048,4566302,4707852,4921849,4976595,4946467,4887472,4872532,4835966,4793188
"pop_65",2616759,2772532,3334028,3354784,3386367,3452626,3507136,3590740,3707438,3828263,3966233,3979956,4106739,4134495,4143486,4270214,4226492,4166813,4165820,4164554,4086612,3861319,3795952,3792514,3878571,4088503,4048396,3845065,3694583,3656734,3781158,3692081,3815199,3869693,3964810,4226652,4178427,4246820,4272320,4247393,4405082,4412458,4435668,4543682,4684866,4898048,4952967,4923482,4865354,4850988,4815143
"pop_66",2590421,2583297,2737449,3291629,3353662,3349536,3415479,3470086,3553400,3669276,3789297,3926027,3940296,4066323,4094503,4104003,4229973,4187580,4129179,4128744,4128129,4051498,3829058,3764969,3761991,3847904,4056393,4017292,3816320,3667651,3630715,3754536,3666795,3789412,3843938,3938860,4199074,4151926,4220340,4246098,4221937,4378946,4386788,4410317,4518051,4658793,4871064,4926159,4897345,4840133,4826364
"pop_67",2578205,2553664,2547197,2699583,3491158,3313296,3309870,3375432,3430071,3513028,3628018,3746996,3882595,3897400,4022610,4051170,4061197,4186320,4145292,4088201,4088360,4088371,4013111,3793686,3730912,3728407,3814163,4021061,3983015,3784543,3637806,3601823,3724963,3638631,3760669,3815222,3909875,4168310,4122295,4190690,4216715,4193339,4349586,4357898,4381763,4489150,4629388,4840639,4895892,4867767,4811525
"pop_68",2340647,2537606,2514052,2508244,2570754,3444612,3269917,3267164,3332310,3386937,3469447,3583359,3701368,3835750,3851079,3975371,4004312,4014844,4139025,4099394,4043664,4044413,4045067,3971240,3754996,3693594,3691597,3777145,3982306,3945361,3749541,3604860,3569869,3692258,3607404,3728795,3783350,3877672,4134151,4089314,4157656,4183941,4161396,4316776,4325584,4349759,4456757,4596421,4806516,4861883,4834509
"pop_69",2134646,2300009,2493921,2471381,2532956,2534265,3394772,3223394,3221299,3285984,3340564,3422557,3535432,3652383,3785442,3801304,3924581,3953863,3964908,4088057,4049855,3995525,3996878,3998192,3925850,3712956,3653030,3651557,3736841,3940119,3904322,3711319,3568813,3534865,3656423,3573116,3693774,3748296,3842231,4096583,4052961,4121214,4147764,4126085,4280474,4289792,4314289,4420835,4559828,4768637,4824098
"pop_70",2033433,2093854,2256462,2447103,2468980,2493204,2495055,3341408,3173525,3172098,3236263,3290789,3372200,3483941,3599744,3731353,3747735,3869879,3899495,3911047,4033036,3996305,3943434,3945406,3947359,3876570,3667284,3608899,3607964,3692912,3894143,3859542,3669550,3529350,3496478,3617108,3535437,3655277,3709723,3803207,4055219,4012881,4081000,4107814,4087016,4240325,4250162,4274968,4380995,4519226,4726585
"pop_71",1928300,1990732,2050446,2210118,2524389,2426285,2450513,2452906,3284219,3120028,3119271,3182931,3237281,3318025,3428544,3543067,3673107,3689993,3810879,3840780,3852822,3973548,3938321,3886973,3889550,3892132,3823049,3617582,3560800,3560416,3644943,3843960,3810599,3623803,3486076,3454324,3573913,3493965,3612888,3667218,3760171,4009620,3968617,4036544,4063626,4043732,4195847,4206201,4231322,4336746,4474086
"pop_72",1844892,1883947,1945419,2004348,2195492,2475932,2380436,2404641,2407568,3222920,3062583,3062569,3125608,3179707,3259716,3368881,3482010,3610338,3627698,3747182,3777331,3789859,3909201,3875507,3825721,3828907,3832198,3764885,3563467,3508378,3508545,3592583,3789169,3757107,3573727,3438636,3408034,3526470,3448338,3566223,3620401,3712739,3959398,3919768,3987463,4014781,3995845,4146613,4157496,4182922,4287645
"pop_73",1729795,1798312,1836925,1897354,2001582,2149257,2423963,2331187,2355330,2358805,3157161,3000949,3001634,3064008,3117764,3196938,3304621,3416215,3542666,3560489,3678407,3708793,3721785,3839581,3807456,3759294,3763170,3767174,3701721,3504607,3451276,3452021,3535475,3729419,3698705,3518964,3386673,3357261,3474427,3398225,3514932,3568921,3660553,3904138,3865960,3933356,3960907,3942952,4092227,4103648,4129365
"pop_74",1665501,1681873,1748993,1787111,1889215,1955068,2099618,2368209,2278266,2302340,2306337,3086675,2934759,2936156,2997782,3051136,3129366,3235422,3345317,3469739,3487979,3604195,3634770,3648207,3764295,3733775,3687397,3691977,3696678,3633192,3440647,3389173,3390508,3473276,3664334,3635018,3459179,3329866,3301702,3417460,3343290,3458705,3512441,3603267,3843489,3806830,3873863,3901631,3884708,4032321,4044276
