"","yr2010","yr2011","yr2012","yr2013","yr2014","yr2015","yr2016","yr2017","yr2018","yr2019","yr2020","yr2021","yr2022","yr2023","yr2024","yr2025","yr2026","yr2027","yr2028","yr2029","yr2030","yr2031","yr2032","yr2033","yr2034","yr2035","yr2036","yr2037","yr2038","yr2039","yr2040","yr2041","yr2042","yr2043","yr2044","yr2045","yr2046","yr2047","yr2048","yr2049","yr2050","yr2051","yr2052","yr2053","yr2054","yr2055","yr2056","yr2057","yr2058","yr2059","yr2060"
"pop_53",12774248,13041494,13053584,13563268,13371516,13175916,13158048,13149342,12924032,12183368,11941534,11949916,12216900,12897866,12697374,12035352,11524866,11424800,11853316,11539884,11911646,12105008,12409506,13293188,13078294,13304762,13393494,13327884,13867346,13920778,14000238,14346544,14810530,15486942,15682098,15645476,15483382,15411510,15277906,15121310,15111140,15189268,15279874,15570604,15448380,15212490,15339306,15519532,15580694,15699960,15868434
"pop_54",12393556,12707062,12974078,12987630,13508840,13299254,13106614,13089754,13082900,12860356,12125688,11885994,11895174,12162306,12840618,12642768,11985548,11478980,11380928,11808210,11497738,11868946,12062598,12367068,13247812,13035712,13262680,13351898,13288288,13826668,13881338,13961746,14307914,14771790,15447090,15642856,15607500,15447498,15377050,15245110,15090440,15081378,15160418,15251906,15542848,15422304,15188088,15315534,15496412,15558350,15678242
"pop_55",12364144,12322242,12635092,12901884,13001568,13427146,13221722,13031956,13016278,13011238,12791500,12062152,11825646,11835762,12103148,12778634,12583586,11931358,11428818,11332982,11758856,11451526,11822120,12016048,12320358,13197952,12988888,13216300,13306138,13244504,13781638,13837640,13919020,14264942,14728648,15402626,15599022,15565084,15407158,15338272,15207992,15055340,15047456,15127434,15219788,15511048,15392146,15159706,15287844,15469356,15532132
"pop_56",11736104,12285656,12245768,12557930,12898146,12916040,13339800,13138448,12951674,12937224,12933980,12716172,11993450,11760252,11771522,12039064,12711522,12519382,11872384,11374146,11280580,11705010,11400886,11770782,11964932,12269098,13143392,12937480,13165308,13255648,13196096,13731876,13789162,13871590,14217210,14680624,15353138,15550250,15517704,15362016,15294726,15166212,15015606,15009072,15089852,15183164,15474708,15357560,15126968,15255842,15438022
"pop_57",11334662,11654572,12201172,12163356,12714478,12805104,12824898,13246720,13049510,12865712,12852544,12849956,12635238,11919560,11689948,11702418,11970162,12639358,12450186,11808694,11314958,11223716,11646572,11345814,11714884,11909286,12213344,13084172,12881436,13109662,13200514,13143076,13677462,13736046,13819476,14164734,14627696,15298674,15496398,15465354,15312040,15246466,15119828,14971342,14966150,15047848,15142134,15433900,15318528,15089966,15219648
"pop_58",10943612,11247656,11566320,12109660,12218714,12614518,12706088,12727918,13147616,12954668,12773902,12760892,12760264,12548946,11840588,11614664,11628412,11896322,12561992,12375906,11740220,11251182,11162334,11583528,11286270,11654422,11849132,12152952,13020048,12820680,13049300,13140776,13085518,13618314,13678246,13762678,14107414,14569902,15239136,15437540,15407986,15257196,15193394,15068706,14922478,14918676,15001364,15096590,15388616,15275088,15048696
"pop_59",10508332,10850840,11153654,11470936,12092466,12114742,12508956,12601438,12625220,13042714,12854154,12675426,12663970,12665400,12457486,11756782,11534668,11549782,11817740,12479782,12296946,11667212,11183126,11096800,11516232,11222540,11589846,11784826,12088390,12951388,12755624,12984596,13076744,13023656,13554760,13616156,13701560,14045886,14507644,15174918,15374072,15346138,15197866,15135900,15013278,14869364,14867080,14950650,15046942,15339144,15227564
"pop_60",10467120,10409856,10750728,11052166,11532508,11981594,12005636,12398010,12491510,12517272,12932468,12747082,12571814,12562152,12565506,12361218,11668414,11450290,11466802,11734796,12393030,12213462,11590022,11111074,11027256,11444870,11155028,11521354,11716602,12019832,12878612,12686424,12915768,13008490,12957720,13486978,13549940,13636334,13980072,14441132,15106348,15306174,15279910,15134284,15074218,14953762,14812274,14811508,14896026,14993362,15285700
"pop_61",10009008,10357970,10303390,10642468,11067964,11420282,11866078,11891860,12282136,12376826,12404568,12816228,12635318,12463674,12455912,12461256,12260618,11576112,11362048,11380040,11647862,12302122,12125976,11509096,11035482,10954208,11370042,11084142,11449368,11644914,11947676,12802032,12613526,12843254,12936678,12888128,13415500,13479936,13567332,13910552,14370666,15033868,15234292,15209742,15066900,15008814,14890520,14751610,14752320,14837924,14936274
"pop_62",9982396,9894074,10240274,10188484,10627436,10952480,11303088,11745610,11773020,12161214,12257048,12285568,12694812,12518444,12350694,12344828,12352204,12155394,11479374,11269568,11289030,11556626,12206686,12034002,11424038,10955910,10877336,11291264,11009442,11373440,11569186,11871502,12721184,12536474,12766478,12860574,12814440,13339724,13405682,13493998,13836586,14295742,14956746,15157720,15135082,14994992,14938942,14822956,14686712,14688956,14775530
